aboriginal,"['AE2', 'B', 'ER0', 'IH1', 'JH', 'AH0', 'N', 'AH0', 'L']"
aborigine,"['AE2', 'B', 'ER0', 'IH1', 'JH', 'AH0', 'N', 'IY0']"
abort,"['AH0', 'B', 'AO1', 'R', 'T']"
aborted,"['AH0', 'B', 'AO1', 'R', 'T', 'IH0', 'D']"
abortifacient,"['AH0', 'B', 'AO2', 'R', 'T', 'AH0', 'F', 'EY1', 'SH', 'AH0', 'N', 'T']"
abortion,"['AH0', 'B', 'AO1', 'R', 'SH', 'AH0', 'N']"
abortionist,"['AH0', 'B', 'AO1', 'R', 'SH', 'AH0', 'N', 'IH0', 'S', 'T']"
abortive,"['AH0', 'B', 'AO1', 'R', 'T', 'IH0', 'V']"
abound,"['AH0', 'B', 'AW1', 'N', 'D']"
abounding,"['AH0', 'B', 'AW1', 'N', 'D', 'IH0', 'NG']"
about,"['AH0', 'B', 'AW1', 'T']"
above,"['AH0', 'B', 'AH1', 'V']"
aboveboard,"['AH0', 'B', 'AH1', 'V', 'B', 'AO2', 'R', 'D']"
abracadabra,"['AE2', 'B', 'R', 'AH0', 'K', 'AH0', 'D', 'AE1', 'B', 'R', 'AH0']"
abraham,"['EY1', 'B', 'R', 'AH0', 'HH', 'AE2', 'M']"
abram,"['AH0', 'B', 'R', 'AE1', 'M']"
abrasion,"['AH0', 'B', 'R', 'EY1', 'ZH', 'AH0', 'N']"
abrasive,"['AH0', 'B', 'R', 'EY1', 'S', 'IH0', 'V']"
abraxas,"['AH0', 'B', 'R', 'AE1', 'K', 'S', 'AH0', 'Z']"
abreast,"['AH0', 'B', 'R', 'EH1', 'S', 'T']"
abridge,"['AH0', 'B', 'R', 'IH1', 'JH']"
abridged,"['AH0', 'B', 'R', 'IH1', 'JH', 'D']"
abroad,"['AH0', 'B', 'R', 'AO1', 'D']"
abrogate,"['AE1', 'B', 'R', 'AH0', 'G', 'EY2', 'T']"
abrogation,"['AE2', 'B', 'R', 'AH0', 'G', 'EY1', 'SH', 'AH0', 'N']"
abrupt,"['AH0', 'B', 'R', 'AH1', 'P', 'T']"
abruptly,"['AH0', 'B', 'R', 'AH1', 'P', 'T', 'L', 'IY0']"
abruptness,"['AH0', 'B', 'R', 'AH1', 'P', 'T', 'N', 'AH0', 'S']"
absalom,"['AE1', 'B', 'S', 'AH0', 'L', 'AH0', 'M']"
abscess,"['AE1', 'B', 'S', 'EH2', 'S']"
abscond,"['AE0', 'B', 'S', 'K', 'AA1', 'N', 'D']"
absconded,"['AE0', 'B', 'S', 'K', 'AA1', 'N', 'D', 'AH0', 'D']"
absence,"['AE1', 'B', 'S', 'AH0', 'N', 'S']"
absent,"['AE1', 'B', 'S', 'AH0', 'N', 'T']"
absentee,"['AE2', 'B', 'S', 'AH0', 'N', 'T', 'IY1']"
absenteeism,"['AE2', 'B', 'S', 'AH0', 'N', 'T', 'IY1', 'IH0', 'Z', 'AH0', 'M']"
absinthe,"['AE1', 'B', 'S', 'IH0', 'N', 'TH']"
absolute,"['AE1', 'B', 'S', 'AH0', 'L', 'UW2', 'T']"
absolutely,"['AE2', 'B', 'S', 'AH0', 'L', 'UW1', 'T', 'L', 'IY0']"
absoluteness,"['AE1', 'B', 'S', 'AH0', 'L', 'UW2', 'T', 'N', 'AH0', 'S']"
absolution,"['AE2', 'B', 'S', 'AH0', 'L', 'UW1', 'SH', 'AH0', 'N']"
absolutism,"['AE1', 'B', 'S', 'AH0', 'L', 'UW2', 'T', 'IH2', 'Z', 'AH0', 'M']"
absolutist,"['AE0', 'B', 'S', 'IH0', 'L', 'UW1', 'T', 'IH0', 'S', 'T']"
absolve,"['AH0', 'B', 'Z', 'AA1', 'L', 'V']"
absolve,"['AE0', 'B', 'Z', 'AA1', 'L', 'V']"
absorb,"['AH0', 'B', 'Z', 'AO1', 'R', 'B']"
absorbed,"['AH0', 'B', 'Z', 'AO1', 'R', 'B', 'D']"
absorbency,"['AH0', 'B', 'Z', 'AO1', 'R', 'B', 'AH0', 'N', 'S', 'IY0']"
absorbent,"['AH0', 'B', 'Z', 'AO1', 'R', 'B', 'AH0', 'N', 'T']"
absorber,"['AH0', 'B', 'Z', 'AO1', 'R', 'B', 'ER0']"
absorbing,"['AH0', 'B', 'Z', 'AO1', 'R', 'B', 'IH0', 'NG']"
absorption,"['AH0', 'B', 'Z', 'AO1', 'R', 'P', 'SH', 'AH0', 'N']"
absorption,"['AH0', 'B', 'S', 'AO1', 'R', 'P', 'SH', 'AH0', 'N']"
abstain,"['AH0', 'B', 'S', 'T', 'EY1', 'N']"
abstain,"['AE0', 'B', 'S', 'T', 'EY1', 'N']"
abstention,"['AH0', 'B', 'S', 'T', 'EH1', 'N', 'CH', 'AH0', 'N']"
abstention,"['AE0', 'B', 'S', 'T', 'EH1', 'N', 'CH', 'AH0', 'N']"
abstinence,"['AE1', 'B', 'S', 'T', 'AH0', 'N', 'AH0', 'N', 'S']"
abstinent,"['AE1', 'B', 'S', 'T', 'AH0', 'N', 'AH0', 'N', 'T']"
abstract,"['AE0', 'B', 'S', 'T', 'R', 'AE1', 'K', 'T']"
abstract,"['AE1', 'B', 'S', 'T', 'R', 'AE2', 'K', 'T']"
abstracted,"['AE1', 'B', 'S', 'T', 'R', 'AE2', 'K', 'T', 'IH0', 'D']"
abstraction,"['AE0', 'B', 'S', 'T', 'R', 'AE1', 'K', 'SH', 'AH0', 'N']"
abstruse,"['AH0', 'B', 'S', 'T', 'R', 'UW1', 'S']"
absurd,"['AH0', 'B', 'S', 'ER1', 'D']"
absurdity,"['AH0', 'B', 'S', 'ER1', 'D', 'AH0', 'T', 'IY0']"
absurdly,"['AH0', 'B', 'S', 'ER1', 'D', 'L', 'IY0']"
abu,"['AE1', 'B', 'UW0']"
abundance,"['AH0', 'B', 'AH1', 'N', 'D', 'AH0', 'N', 'S']"
abundant,"['AH0', 'B', 'AH1', 'N', 'D', 'AH0', 'N', 'T']"
abundantly,"['AH0', 'B', 'AH1', 'N', 'D', 'AH0', 'N', 'T', 'L', 'IY0']"
abuse,"['AH0', 'B', 'Y', 'UW1', 'S']"
abuse,"['AH0', 'B', 'Y', 'UW1', 'Z']"
abuser,"['AH0', 'B', 'Y', 'UW1', 'Z', 'ER0']"
abusive,"['AH0', 'B', 'Y', 'UW1', 'S', 'IH0', 'V']"
abut,"['AH0', 'B', 'AH1', 'T']"
abutting,"['AH0', 'B', 'AH1', 'T', 'IH0', 'NG']"
abuzz,"['AH0', 'B', 'AH1', 'Z']"
abysmal,"['AH0', 'B', 'IH1', 'Z', 'M', 'AH0', 'L']"
abysmally,"['AH0', 'B', 'IH1', 'Z', 'M', 'AH0', 'L', 'IY0']"
abyss,"['AH0', 'B', 'IH1', 'S']"
abyssinian,"['AE0', 'B', 'S', 'IH1', 'N', 'IY2', 'AH0', 'N']"
acacia,"['AH0', 'K', 'EY1', 'SH', 'AH0']"
academe,"['AE1', 'K', 'AH0', 'D', 'IY2', 'M']"
academic,"['AE2', 'K', 'AH0', 'D', 'EH1', 'M', 'IH0', 'K']"
academically,"['AE2', 'K', 'AH0', 'D', 'EH1', 'M', 'IH0', 'K', 'L', 'IY0']"
academician,"['AE2', 'K', 'AH0', 'D', 'AH0', 'M', 'IH1', 'SH', 'AH0', 'N']"
academy,"['AH0', 'K', 'AE1', 'D', 'AH0', 'M', 'IY0']"
acadia,"['AH0', 'K', 'EY1', 'D', 'IY0', 'AH0']"
acantha,"['AA0', 'K', 'AA1', 'N', 'DH', 'AH0']"
acapulco,"['AE2', 'K', 'AH0', 'P', 'UH1', 'L', 'K', 'OW0']"
accede,"['AE0', 'K', 'S', 'IY1', 'D']"
accelerant,"['AE0', 'K', 'S', 'EH1', 'L', 'ER0', 'AH0', 'N', 'T']"
accelerate,"['AE0', 'K', 'S', 'EH1', 'L', 'ER0', 'EY2', 'T']"
accelerated,"['AE0', 'K', 'S', 'EH1', 'L', 'ER0', 'EY2', 'T', 'IH0', 'D']"
acceleration,"['AE2', 'K', 'S', 'EH2', 'L', 'ER0', 'EY1', 'SH', 'AH0', 'N']"
accelerator,"['AE0', 'K', 'S', 'EH1', 'L', 'ER0', 'EY2', 'T', 'ER0']"
accelerometer,"['AE0', 'K', 'S', 'EH2', 'L', 'ER0', 'AA1', 'M', 'AH0', 'T', 'ER0']"
accent,"['AH0', 'K', 'S', 'EH1', 'N', 'T']"
accent,"['AE1', 'K', 'S', 'EH2', 'N', 'T']"
accentuate,"['AE0', 'K', 'S', 'EH1', 'N', 'CH', 'UW0', 'EY0', 'T']"
accept,"['AE0', 'K', 'S', 'EH1', 'P', 'T']"
accept,"['AH0', 'K', 'S', 'EH1', 'P', 'T']"
acceptability,"['AH0', 'K', 'S', 'EH2', 'P', 'T', 'AH0', 'B', 'IH1', 'L', 'AH0', 'T', 'IY0']"
acceptable,"['AE0', 'K', 'S', 'EH1', 'P', 'T', 'AH0', 'B', 'AH0', 'L']"
acceptable,"['AH0', 'K', 'S', 'EH1', 'P', 'T', 'AH0', 'B', 'AH0', 'L']"
acceptably,"['AE0', 'K', 'S', 'EH1', 'P', 'T', 'AH0', 'B', 'L', 'IY0']"
acceptably,"['AH0', 'K', 'S', 'EH1', 'P', 'T', 'AH0', 'B', 'L', 'IY0']"
acceptance,"['AE0', 'K', 'S', 'EH1', 'P', 'T', 'AH0', 'N', 'S']"
acceptance,"['AH0', 'K', 'S', 'EH1', 'P', 'T', 'AH0', 'N', 'S']"
accepted,"['AE0', 'K', 'S', 'EH1', 'P', 'T', 'IH0', 'D']"
accepted,"['AH0', 'K', 'S', 'EH1', 'P', 'T', 'AH0', 'D']"
access,"['AE1', 'K', 'S', 'EH2', 'S']"
accessibility,"['AE2', 'K', 'S', 'EH0', 'S', 'AH0', 'B', 'IH1', 'L', 'IH0', 'T', 'IY0']"
accessible,"['AE0', 'K', 'S', 'EH1', 'S', 'AH0', 'B', 'AH0', 'L']"
accession,"['AH0', 'K', 'S', 'EH1', 'SH', 'AH0', 'N']"
accessory,"['AE0', 'K', 'S', 'EH1', 'S', 'ER0', 'IY0']"
accident,"['AE1', 'K', 'S', 'AH0', 'D', 'AH0', 'N', 'T']"
accidental,"['AE2', 'K', 'S', 'AH0', 'D', 'EH1', 'N', 'T', 'AH0', 'L']"
accidental,"['AE2', 'K', 'S', 'AH0', 'D', 'EH1', 'N', 'AH0', 'L']"
accidentally,"['AE2', 'K', 'S', 'AH0', 'D', 'EH1', 'N', 'T', 'AH0', 'L', 'IY0']"
accidentally,"['AE2', 'K', 'S', 'AH0', 'D', 'EH1', 'N', 'AH0', 'L', 'IY0']"
accidently,"['AE1', 'K', 'S', 'AH0', 'D', 'AH0', 'N', 'T', 'L', 'IY0']"
acclaim,"['AH0', 'K', 'L', 'EY1', 'M']"
acclamation,"['AE2', 'K', 'L', 'AH0', 'M', 'EY1', 'SH', 'AH0', 'N']"
acclimate,"['AE1', 'K', 'L', 'AH0', 'M', 'EY2', 'T']"
acclimation,"['AE2', 'K', 'L', 'AH0', 'M', 'EY1', 'SH', 'AH0', 'N']"
accolade,"['AE1', 'K', 'AH0', 'L', 'EY2', 'D']"
accommodate,"['AH0', 'K', 'AA1', 'M', 'AH0', 'D', 'EY2', 'T']"
accommodating,"['AH0', 'K', 'AA1', 'M', 'AH0', 'D', 'EY2', 'T', 'IH0', 'NG']"
accommodation,"['AH0', 'K', 'AA2', 'M', 'AH0', 'D', 'EY1', 'SH', 'AH0', 'N']"
accommodative,"['AH0', 'K', 'AA1', 'M', 'AH0', 'D', 'EY2', 'T', 'IH0', 'V']"
accompaniment,"['AH0', 'K', 'AH1', 'M', 'P', 'N', 'IH0', 'M', 'AH0', 'N', 'T']"
accompaniment,"['AH0', 'K', 'AH1', 'M', 'P', 'N', 'IY0', 'M', 'AH0', 'N', 'T']"
accompanist,"['AH0', 'K', 'AH1', 'M', 'P', 'AH0', 'N', 'AH0', 'S', 'T']"
accompany,"['AH0', 'K', 'AH1', 'M', 'P', 'AH0', 'N', 'IY0']"
accomplice,"['AH0', 'K', 'AA1', 'M', 'P', 'L', 'AH0', 'S']"
accomplish,"['AH0', 'K', 'AA1', 'M', 'P', 'L', 'IH0', 'SH']"
accomplished,"['AH0', 'K', 'AA1', 'M', 'P', 'L', 'IH0', 'SH', 'T']"
accomplishment,"['AH0', 'K', 'AA1', 'M', 'P', 'L', 'IH0', 'SH', 'M', 'AH0', 'N', 'T']"
accord,"['AH0', 'K', 'AO1', 'R', 'D']"
accordance,"['AH0', 'K', 'AO1', 'R', 'D', 'AH0', 'N', 'S']"
according,"['AH0', 'K', 'AO1', 'R', 'D', 'IH0', 'NG']"
accordingly,"['AH0', 'K', 'AO1', 'R', 'D', 'IH0', 'NG', 'L', 'IY0']"
accordion,"['AH0', 'K', 'AO1', 'R', 'D', 'IY0', 'AH0', 'N']"
accost,"['AH0', 'K', 'AO1', 'S', 'T']"
accosted,"['AH0', 'K', 'AA1', 'S', 'T', 'AH0', 'D']"
account,"['AH0', 'K', 'AW1', 'N', 'T']"
accountability,"['AH0', 'K', 'AW1', 'N', 'T', 'AH0', 'B', 'IH0', 'L', 'IH0', 'T', 'IY0']"
accountability,"['AH0', 'K', 'AW1', 'N', 'AH0', 'B', 'IH0', 'L', 'IH0', 'T', 'IY0']"
accountable,"['AH0', 'K', 'AW1', 'N', 'T', 'AH0', 'B', 'AH0', 'L']"
accountable,"['AH0', 'K', 'AW1', 'N', 'AH0', 'B', 'AH0', 'L']"
accountancy,"['AH0', 'K', 'AW1', 'N', 'T', 'AH0', 'N', 'S', 'IY0']"
accountant,"['AH0', 'K', 'AW1', 'N', 'T', 'AH0', 'N', 'T']"
accounting,"['AH0', 'K', 'AW1', 'N', 'T', 'IH0', 'NG']"
accounting,"['AH0', 'K', 'AW1', 'N', 'IH0', 'NG']"
accouterment,"['AH0', 'K', 'UW1', 'T', 'ER0', 'M', 'AH0', 'N', 'T']"
accredit,"['AH0', 'K', 'R', 'EH2', 'D', 'AH0', 'T']"
accreditation,"['AH0', 'K', 'R', 'EH2', 'D', 'AH0', 'T', 'EY1', 'SH', 'AH0', 'N']"
accredited,"['AH0', 'K', 'R', 'EH1', 'D', 'IH0', 'T', 'IH0', 'D']"
accretion,"['AH0', 'K', 'R', 'IY1', 'SH', 'AH0', 'N']"
accrual,"['AH0', 'K', 'R', 'UW1', 'AH0', 'L']"
accrue,"['AH0', 'K', 'R', 'UW1']"
accumulate,"['AH0', 'K', 'Y', 'UW1', 'M', 'Y', 'AH0', 'L', 'EY2', 'T']"
accumulation,"['AH0', 'K', 'Y', 'UW2', 'M', 'Y', 'AH0', 'L', 'EY1', 'SH', 'AH0', 'N']"
accumulative,"['AH0', 'K', 'Y', 'UW1', 'M', 'Y', 'AH0', 'L', 'EY2', 'T', 'IH0', 'V']"
accumulatively,"['AH0', 'K', 'Y', 'UW1', 'M', 'Y', 'AH0', 'L', 'EY2', 'T', 'IH0', 'V', 'L', 'IY0']"
accumulatively,"['AH0', 'K', 'Y', 'UW1', 'M', 'Y', 'AH0', 'L', 'AH0', 'T', 'IH0', 'V', 'L', 'IY0']"
accumulator,"['AH0', 'K', 'Y', 'UW1', 'M', 'Y', 'AH0', 'L', 'EY2', 'T', 'ER0']"
accuracy,"['AE1', 'K', 'Y', 'ER0', 'AH0', 'S', 'IY0']"
accurate,"['AE1', 'K', 'Y', 'ER0', 'AH0', 'T']"
accurately,"['AE1', 'K', 'Y', 'ER0', 'AH0', 'T', 'L', 'IY0']"
accusation,"['AE2', 'K', 'Y', 'AH0', 'Z', 'EY1', 'SH', 'AH0', 'N']"
accusation,"['AE2', 'K', 'Y', 'UW0', 'Z', 'EY1', 'SH', 'AH0', 'N']"
accusative,"['AH0', 'K', 'Y', 'UW1', 'Z', 'AH0', 'T', 'IH0', 'V']"
accusatory,"['AH0', 'K', 'Y', 'UW1', 'Z', 'AH0', 'T', 'AO2', 'R', 'IY0']"
accuse,"['AH0', 'K', 'Y', 'UW1', 'Z']"
accused,"['AH0', 'K', 'Y', 'UW1', 'Z', 'D']"
accuser,"['AH0', 'K', 'Y', 'UW1', 'Z', 'ER0']"
accusingly,"['AH0', 'K', 'Y', 'UW1', 'Z', 'IH0', 'NG', 'L', 'IY0']"
accustom,"['AH0', 'K', 'AH1', 'S', 'T', 'AH0', 'M']"
accustomed,"['AH0', 'K', 'AH1', 'S', 'T', 'AH0', 'M', 'D']"
ace,"['EY1', 'S']"
acer,"['EY1', 'S', 'ER0']"
acerbic,"['AH0', 'S', 'EH1', 'R', 'B', 'IH0', 'K']"
acerra,"['AH0', 'S', 'EH1', 'R', 'AH0']"
acetate,"['AE1', 'S', 'AH0', 'T', 'EY2', 'T']"
acetic,"['AH0', 'S', 'EH1', 'T', 'IH0', 'K']"
acetic,"['AH0', 'S', 'IY1', 'T', 'IH0', 'K']"
acetone,"['AE1', 'S', 'AH0', 'T', 'OW2', 'N']"
acetylcholine,"['AH0', 'S', 'EH2', 'T', 'AH0', 'L', 'K', 'OW1', 'L', 'IY0', 'N']"
acetylcholine,"['AH0', 'S', 'IY2', 'T', 'AH0', 'L', 'K', 'OW1', 'L', 'IY0', 'N']"
acetylene,"['AH0', 'S', 'EH1', 'T', 'AH0', 'L', 'IY2', 'N']"
achaean,"['AH0', 'CH', 'IY1', 'AH0', 'N']"
ache,"['EY1', 'K']"
achievable,"['AH0', 'CH', 'IY1', 'V', 'AH0', 'B', 'AH0', 'L']"
achieve,"['AH0', 'CH', 'IY1', 'V']"
achievement,"['AH0', 'CH', 'IY1', 'V', 'M', 'AH0', 'N', 'T']"
achiever,"['AH0', 'CH', 'IY1', 'V', 'ER0']"
aching,"['EY1', 'K', 'IH0', 'NG']"
achingly,"['EY1', 'K', 'IH0', 'NG', 'L', 'IY0']"
achor,"['EY1', 'K', 'ER0']"
achy,"['EY1', 'K', 'IY0']"
acid,"['AE1', 'S', 'AH0', 'D']"
acidic,"['AH0', 'S', 'IH1', 'D', 'IH0', 'K']"
acidification,"['AH0', 'S', 'IH2', 'D', 'AH0', 'F', 'AH0', 'K', 'EY1', 'SH', 'AH0', 'N']"
acidify,"['AH0', 'S', 'IH1', 'D', 'AH0', 'F', 'AY2']"
acidity,"['AH0', 'S', 'IH1', 'D', 'AH0', 'T', 'IY0']"
acidly,"['AE1', 'S', 'AH0', 'D', 'L', 'IY0']"
acidosis,"['AE2', 'S', 'AH0', 'D', 'OW1', 'S', 'AH0', 'S']"
acker,"['AE1', 'K', 'ER0']"
ackman,"['AE1', 'K', 'M', 'AH0', 'N']"
acknowledge,"['AE0', 'K', 'N', 'AA1', 'L', 'IH0', 'JH']"
acknowledge,"['IH0', 'K', 'N', 'AA1', 'L', 'IH0', 'JH']"
acknowledgeable,"['AE0', 'K', 'N', 'AA1', 'L', 'IH0', 'JH', 'AH0', 'B', 'AH0', 'L']"
acknowledgeable,"['IH0', 'K', 'N', 'AA1', 'L', 'IH0', 'JH', 'AH0', 'B', 'AH0', 'L']"
acknowledged,"['AE0', 'K', 'N', 'AA1', 'L', 'IH0', 'JH', 'D']"
acknowledged,"['IH0', 'K', 'N', 'AA1', 'L', 'IH0', 'JH', 'D']"
acme,"['AE1', 'K', 'M', 'IY0']"
acne,"['AE1', 'K', 'N', 'IY0']"
acolyte,"['AE1', 'K', 'AH0', 'L', 'AY2', 'T']"
acorn,"['EY1', 'K', 'AO0', 'R', 'N']"
acoustic,"['AH0', 'K', 'UW1', 'S', 'T', 'IH0', 'K']"
acoustical,"['AH0', 'K', 'UW1', 'S', 'T', 'IH0', 'K', 'AH0', 'L']"
acoustically,"['AH0', 'K', 'UW1', 'S', 'T', 'IH0', 'K', 'L', 'IY0']"
acoustics,"['AH0', 'K', 'UW1', 'S', 'T', 'IH0', 'K', 'S']"
acquaint,"['AH0', 'K', 'W', 'EY1', 'N', 'T']"
acquaintance,"['AH0', 'K', 'W', 'EY1', 'N', 'T', 'AH0', 'N', 'S']"
acquaintanceship,"['AH0', 'K', 'W', 'EY1', 'N', 'T', 'AH0', 'N', 'S', 'SH', 'IH0', 'P']"
acquainted,"['AH0', 'K', 'W', 'EY1', 'N', 'T', 'IH0', 'D']"
acquainted,"['AH0', 'K', 'W', 'EY1', 'N', 'IH0', 'D']"
acquiesce,"['AE2', 'K', 'W', 'IY0', 'EH1', 'S']"
acquiescence,"['AE2', 'K', 'W', 'IY0', 'EH1', 'S', 'AH0', 'N', 'S']"
acquire,"['AH0', 'K', 'W', 'AY1', 'ER0']"
acquired,"['AH0', 'K', 'W', 'AY1', 'ER0', 'D']"
acquirer,"['AH0', 'K', 'W', 'AY1', 'ER0', 'ER0']"
acquisition,"['AE2', 'K', 'W', 'AH0', 'Z', 'IH1', 'SH', 'AH0', 'N']"
acquisitive,"['AH0', 'K', 'W', 'IH1', 'Z', 'AH0', 'T', 'IH0', 'V']"
acquit,"['AH0', 'K', 'W', 'IH1', 'T']"
acquittal,"['AH0', 'K', 'W', 'IH1', 'T', 'AH0', 'L']"
acre,"['EY1', 'K', 'ER0']"
acreage,"['EY1', 'K', 'ER0', 'IH0', 'JH']"
acreage,"['EY1', 'K', 'R', 'AH0', 'JH']"
acrid,"['AE1', 'K', 'R', 'IH0', 'D']"
acrimonious,"['AE2', 'K', 'R', 'AH0', 'M', 'OW1', 'N', 'IY0', 'AH0', 'S']"
acrimony,"['AE1', 'K', 'R', 'IH0', 'M', 'OW2', 'N', 'IY0']"
acrobat,"['AE1', 'K', 'R', 'AH0', 'B', 'AE2', 'T']"
acrobatic,"['AE2', 'K', 'R', 'AH0', 'B', 'AE1', 'T', 'IH0', 'K']"
acrobatics,"['AE2', 'K', 'R', 'AH0', 'B', 'AE1', 'T', 'IH0', 'K', 'S']"
acrolein,"['AE1', 'K', 'R', 'OW0', 'L', 'IY2', 'N']"
acronym,"['AE1', 'K', 'R', 'AH0', 'N', 'IH0', 'M']"
acropolis,"['AH0', 'K', 'R', 'AA1', 'P', 'AH0', 'L', 'AH0', 'S']"
across,"['AH0', 'K', 'R', 'AO1', 'S']"
acrylic,"['AH0', 'K', 'R', 'IH1', 'L', 'IH0', 'K']"
act,"['AE1', 'K', 'T']"
actin,"['AE1', 'K', 'T', 'AH0', 'N']"
acting,"['AE1', 'K', 'T', 'IH0', 'NG']"
